service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,1,1,1,0,0,20230306,20230528
3,0,0,0,0,0,1,0,20230306,20230528
4,0,0,0,0,0,0,1,20230306,20230528
20,0,0,0,0,0,0,1,20230306,20230528
21,1,1,1,1,1,0,0,20230306,20230528
402,1,1,1,1,0,0,0,20230306,20230528
502,0,0,0,0,1,0,0,20230306,20230528
902,0,0,0,0,1,0,0,20230306,20230528
1002,1,1,1,1,0,0,0,20230306,20230528
1521,1,1,1,1,0,0,0,20230306,20230528
1621,0,0,0,0,1,0,0,20230306,20230528
