service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,0,1,1,1,1,0,0,20230423,20230611
3,0,0,0,0,0,1,0,20230423,20230611
4,0,0,0,0,0,0,1,20230423,20230611
19,0,0,0,0,0,1,0,20230423,20230611
21,0,1,1,1,1,0,0,20230423,20230611
402,0,1,1,1,0,0,0,20230423,20230611
502,0,0,0,0,1,0,0,20230423,20230611
902,0,0,0,0,1,0,0,20230423,20230611
1002,0,1,1,1,0,0,0,20230423,20230611
1521,0,1,1,1,0,0,0,20230423,20230611
1621,0,0,0,0,1,0,0,20230423,20230611
